25.11.23.150;Металлоконструкции специальные и детали металлоконструкций для области использования атомной энергии
23.61.12.167;Резервуары железобетонные
25.11.22.191;Мачты решетчатые из черных металлов прочие, не включенные в другие группировки
25.11.22.192;Опоры из черных металлов прочие, не включенные в другие группировки
25.11.23.131;Эстакады материалопроводов
25.11.23.139;Эстакады и галереи прочие
25.11.23.140;Площадки с ограждениями для обслуживания и осмотра технологического оборудования
25.29.11.100;Резервуары и газгольдеры
25.29.11.110;Резервуары и газгольдеры полистовой сборки
25.29.11.111;Резервуары и газгольдеры полистовой сборки горизонтальные
25.29.11.119;Резервуары и газгольдеры полистовой сборки прочие
25.29.11.120;Резервуары и газгольдеры рулонированные
25.29.11.121;Резервуары и газгольдеры рулонированные вертикальные цилиндрические
25.29.11.129;Резервуары и газгольдеры рулонированные прочие
25.29.11.130;Резервуары и газгольдеры, возводимые комбинированным способом
25.29.11.900;Резервуары, цистерны, баки и аналогичные емкости (кроме емкостей для сжатых или сжиженных газов) из чугуна, стали или алюминия, вместимостью более 300 л, без механического или теплотехнического оборудования прочие
25.29.11.910;Резервуары, цистерны, баки и аналогичные емкости (кроме емкостей для сжатых или сжиженных газов) из черных металлов и алюминия, вместимостью более 300 л, без механического или теплотехнического оборудования прочие
25.29.11.990;Резервуары, цистерны, баки и аналогичные емкости (кроме емкостей для сжатых или сжиженных газов) из прочих металлов, вместимостью более 300 л, без механического или теплотехнического оборудования прочие
25.29.12.191;Емкости из черных металлов и алюминия для сжатых или сжиженных газов прочие, не включенные в другие группировки
25.29.12.199;Емкости из прочих металлов для сжатых или сжиженных газов прочие, не включенные в другие группировки
28.99.39.160;Оборудование фонтанное и газлифтное
30.11.50.121;Понтоны речные
30.11.50.129;Понтоны прочие
